session,run_used,frame,region_id,area_px,ade,status,ground_truth,labels_md5,annotated_utc
20260730_161223,material_map_sam_v2,20250906_233144_R,0,15805,,mixed,,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:06Z
20260730_161223,material_map_sam_v2,20250906_233144_R,1,414708,,labeled,rubber,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:10Z
20260730_161223,material_map_sam_v2,20250906_233144_R,2,72521,,mixed,,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:19Z
20260730_161223,material_map_sam_v2,20250906_233144_R,3,129907,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:23Z
20260730_161223,material_map_sam_v2,20250906_233144_R,4,41015,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:29Z
20260730_161223,material_map_sam_v2,20250906_233144_R,5,37676,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:30Z
20260730_161223,material_map_sam_v2,20250906_233144_R,6,24705,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:31Z
20260730_161223,material_map_sam_v2,20250906_233144_R,7,3450,,mixed,,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:35Z
20260730_161223,material_map_sam_v2,20250906_233144_R,8,28853,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:37Z
20260730_161223,material_map_sam_v2,20250906_233144_R,9,10639,,labeled,glass,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:40Z
20260730_161223,material_map_sam_v2,20250906_233144_R,10,8736,,labeled,glass,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:41Z
20260730_161223,material_map_sam_v2,20250906_233144_R,11,24205,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:42Z
20260730_161223,material_map_sam_v2,20250906_233144_R,12,15668,,labeled,glass,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:43Z
20260730_161223,material_map_sam_v2,20250906_233144_R,13,10606,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:46Z
20260730_161223,material_map_sam_v2,20250906_233144_R,14,10153,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:47Z
20260730_161223,material_map_sam_v2,20250906_233144_R,15,8901,,unclear,,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:50Z
20260730_161223,material_map_sam_v2,20250906_233144_R,16,7008,,labeled,glass,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:52Z
20260730_161223,material_map_sam_v2,20250906_233144_R,17,6860,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:53Z
20260730_161223,material_map_sam_v2,20250906_233144_R,18,5733,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:55Z
20260730_161223,material_map_sam_v2,20250906_233144_R,19,5310,,labeled,glass,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:53:58Z
20260730_161223,material_map_sam_v2,20250906_233144_R,20,5081,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:00Z
20260730_161223,material_map_sam_v2,20250906_233144_R,21,4713,,mixed,,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:04Z
20260730_161223,material_map_sam_v2,20250906_233144_R,22,4550,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:06Z
20260730_161223,material_map_sam_v2,20250906_233144_R,23,4218,,labeled,glass,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:10Z
20260730_161223,material_map_sam_v2,20250906_233144_R,24,3893,,labeled,glass,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:11Z
20260730_161223,material_map_sam_v2,20250906_233144_R,25,3893,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:12Z
20260730_161223,material_map_sam_v2,20250906_233144_R,26,3385,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:13Z
20260730_161223,material_map_sam_v2,20250906_233144_R,27,2660,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:14Z
20260730_161223,material_map_sam_v2,20250906_233144_R,28,1001,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:16Z
20260730_161223,material_map_sam_v2,20250906_233144_R,29,2332,,labeled,painted_metal,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:17Z
20260730_161223,material_map_sam_v2,20250906_233144_R,30,2150,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:21Z
20260730_161223,material_map_sam_v2,20250906_233144_R,31,2180,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:22Z
20260730_161223,material_map_sam_v2,20250906_233144_R,32,2130,,labeled,paint,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:23Z
20260730_161223,material_map_sam_v2,20250906_233144_R,33,1811,,mixed,,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:26Z
20260730_161223,material_map_sam_v2,20250906_233144_R,34,3837,,mixed,,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:27Z
20260730_161223,material_map_sam_v2,20250906_233144_R,35,1715,,labeled,glass,0f4ef4b347b474674184818dab3cb238,2026-08-28T16:54:36Z
20260730_161223,material_map_sam_v2,20250906_233149_R,0,14684,,mixed,,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:38Z
20260730_161223,material_map_sam_v2,20250906_233149_R,1,414453,,labeled,rubber,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:41Z
20260730_161223,material_map_sam_v2,20250906_233149_R,2,69415,,labeled,paint,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:42Z
20260730_161223,material_map_sam_v2,20250906_233149_R,3,127145,,labeled,paint,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:42Z
20260730_161223,material_map_sam_v2,20250906_233149_R,4,40997,,labeled,painted_metal,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:44Z
20260730_161223,material_map_sam_v2,20250906_233149_R,5,37358,,labeled,painted_metal,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:44Z
20260730_161223,material_map_sam_v2,20250906_233149_R,6,12783,,labeled,glass,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:48Z
20260730_161223,material_map_sam_v2,20250906_233149_R,7,24605,,labeled,paint,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:49Z
20260730_161223,material_map_sam_v2,20250906_233149_R,8,3159,,mixed,,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:50Z
20260730_161223,material_map_sam_v2,20250906_233149_R,9,703,,mixed,,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:52Z
20260730_161223,material_map_sam_v2,20250906_233149_R,10,20132,,labeled,paint,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:53Z
20260730_161223,material_map_sam_v2,20250906_233149_R,11,24442,,labeled,paint,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:53Z
20260730_161223,material_map_sam_v2,20250906_233149_R,12,12675,,mixed,,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:55Z
20260730_161223,material_map_sam_v2,20250906_233149_R,13,12840,,labeled,glass,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:58Z
20260730_161223,material_map_sam_v2,20250906_233149_R,14,10430,,labeled,painted_metal,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:54:59Z
20260730_161223,material_map_sam_v2,20250906_233149_R,15,8260,,labeled,paint,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:55:00Z
20260730_161223,material_map_sam_v2,20250906_233149_R,16,9750,,labeled,painted_metal,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:55:04Z
20260730_161223,material_map_sam_v2,20250906_233149_R,17,8784,,labeled,glass,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:55:53Z
20260730_161223,material_map_sam_v2,20250906_233149_R,18,7609,,labeled,glass,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:56:02Z
20260730_161223,material_map_sam_v2,20250906_233149_R,19,2379,,mixed,,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:56:04Z
20260730_161223,material_map_sam_v2,20250906_233149_R,20,7138,,labeled,paint,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:56:05Z
20260730_161223,material_map_sam_v2,20250906_233149_R,21,7357,,labeled,paint,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:56:06Z
20260730_161223,material_map_sam_v2,20250906_233149_R,22,5901,,labeled,painted_metal,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:56:08Z
20260730_161223,material_map_sam_v2,20250906_233149_R,23,5240,,labeled,glass,878f445f18b6cf8c63e3c31c0626cd34,2026-08-28T16:56:09Z
