session,run_used,frame,region_id,area_px,ade,status,ground_truth,labels_md5,annotated_utc
20260730_161223,material_map_m2f,20250906_233144_R,0,205719,wall,labeled,paint,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:50:36Z
20260730_161223,material_map_m2f,20250906_233144_R,1,423508,floor,labeled,rubber,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:50:44Z
20260730_161223,material_map_m2f,20250906_233144_R,2,123132,ceiling,labeled,paint,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:50:45Z
20260730_161223,material_map_m2f,20250906_233144_R,3,28023,windowpane,labeled,glass,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:50:48Z
20260730_161223,material_map_m2f,20250906_233144_R,4,33153,windowpane,labeled,glass,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:50:49Z
20260730_161223,material_map_m2f,20250906_233144_R,5,15116,windowpane,labeled,glass,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:50:50Z
20260730_161223,material_map_m2f,20250906_233144_R,6,3949,windowpane,labeled,glass,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:50:50Z
20260730_161223,material_map_m2f,20250906_233144_R,7,4997,door,labeled,painted_metal,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:50:59Z
20260730_161223,material_map_m2f,20250906_233144_R,8,11900,painting,labeled,glass,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:51:05Z
20260730_161223,material_map_m2f,20250906_233144_R,9,41671,radiator,labeled,painted_metal,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:51:08Z
20260730_161223,material_map_m2f,20250906_233144_R,10,35553,radiator,labeled,painted_metal,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:51:09Z
20260730_161223,material_map_m2f,20250906_233144_R,11,1728,radiator,labeled,painted_metal,1b3043609c4bf04f4903d18ff712a3a3,2026-08-28T14:51:10Z
20260730_161223,material_map_m2f,20250906_233149_R,0,206701,wall,labeled,paint,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:51:14Z
20260730_161223,material_map_m2f,20250906_233149_R,1,423572,floor,labeled,rubber,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:51:29Z
20260730_161223,material_map_m2f,20250906_233149_R,2,122258,ceiling,labeled,paint,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:51:31Z
20260730_161223,material_map_m2f,20250906_233149_R,3,26110,windowpane,labeled,glass,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:51:36Z
20260730_161223,material_map_m2f,20250906_233149_R,4,33809,windowpane,labeled,glass,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:51:37Z
20260730_161223,material_map_m2f,20250906_233149_R,5,14407,windowpane,labeled,glass,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:51:38Z
20260730_161223,material_map_m2f,20250906_233149_R,6,4068,windowpane,labeled,glass,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:51:38Z
20260730_161223,material_map_m2f,20250906_233149_R,7,5042,door,labeled,painted_metal,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:51:55Z
20260730_161223,material_map_m2f,20250906_233149_R,8,12350,painting,labeled,glass,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:52:00Z
20260730_161223,material_map_m2f,20250906_233149_R,9,42354,radiator,labeled,painted_metal,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:52:04Z
20260730_161223,material_map_m2f,20250906_233149_R,10,34353,radiator,labeled,painted_metal,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:52:04Z
20260730_161223,material_map_m2f,20250906_233149_R,11,4049,radiator,labeled,painted_metal,95935d25faab90b71bfaf98f522e4d5b,2026-08-28T14:52:04Z
20260730_161223,material_map_m2f,20250906_233154_R,0,282665,wall,labeled,paint,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:06Z
20260730_161223,material_map_m2f,20250906_233154_R,1,427988,floor,labeled,rubber,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:11Z
20260730_161223,material_map_m2f,20250906_233154_R,2,119173,ceiling,labeled,paint,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:13Z
20260730_161223,material_map_m2f,20250906_233154_R,3,26210,windowpane,labeled,glass,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:20Z
20260730_161223,material_map_m2f,20250906_233154_R,4,18160,windowpane,labeled,glass,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:22Z
20260730_161223,material_map_m2f,20250906_233154_R,5,3623,windowpane,labeled,glass,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:23Z
20260730_161223,material_map_m2f,20250906_233154_R,6,20437,windowpane,labeled,glass,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:24Z
20260730_161223,material_map_m2f,20250906_233154_R,7,2151,windowpane,labeled,paint,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:36Z
20260730_161223,material_map_m2f,20250906_233154_R,8,5118,door,labeled,painted_metal,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:51Z
20260730_161223,material_map_m2f,20250906_233154_R,9,16352,radiator,labeled,painted_metal,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:52Z
20260730_161223,material_map_m2f,20250906_233154_R,10,7370,radiator,labeled,painted_metal,7db2a8e07cd3e818bbbb0b73ee3d6e56,2026-08-28T14:52:52Z
20260730_161223,material_map_m2f,20250906_233159_R,0,249759,wall,labeled,paint,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:02Z
20260730_161223,material_map_m2f,20250906_233159_R,1,2700,wall,labeled,painted_metal,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:05Z
20260730_161223,material_map_m2f,20250906_233159_R,2,420347,floor,labeled,rubber,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:09Z
20260730_161223,material_map_m2f,20250906_233159_R,3,121079,ceiling,labeled,paint,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:10Z
20260730_161223,material_map_m2f,20250906_233159_R,4,58222,windowpane,labeled,glass,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:14Z
20260730_161223,material_map_m2f,20250906_233159_R,5,14870,windowpane,labeled,glass,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:15Z
20260730_161223,material_map_m2f,20250906_233159_R,6,6019,door,labeled,painted_metal,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:18Z
20260730_161223,material_map_m2f,20250906_233159_R,7,9642,painting,labeled,painted_metal,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:19Z
20260730_161223,material_map_m2f,20250906_233159_R,8,2084,signboard,labeled,painted_metal,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:23Z
20260730_161223,material_map_m2f,20250906_233159_R,9,3776,sconce,labeled,painted_metal,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:23Z
20260730_161223,material_map_m2f,20250906_233159_R,10,27864,radiator,labeled,painted_metal,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:25Z
20260730_161223,material_map_m2f,20250906_233159_R,11,7477,radiator,labeled,painted_metal,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:26Z
20260730_161223,material_map_m2f,20250906_233159_R,12,5738,radiator,labeled,painted_metal,efd525f14c246048e33b3df8d938699f,2026-08-28T14:53:27Z
