group,ade,zone,materials,notes
ceiling,ceiling;sky,ceiling,plaster;paint;concrete;wood,"A ceiling is plastered, painted, bare soffit or timber. Not glass: a rooflight is ADE 'windowpane', not 'ceiling', so excluding glass here costs nothing and removes the single most common false positive of the old bbox prior (a ceiling patch that fell through to 'any' and came back glass, which the emissivity gate does not block at eps=0.92). 'sky' is here because through a window it is the same reasoning and there is no sky material."
wall,wall;building;house,vertical,plaster;paint;brick;concrete;wood;ceramic,"Opaque wall surface. Glass is deliberately absent: glazing is its own ADE class, so a region Mask2Former called 'wall' is by construction not the window next to it."
floor,floor;path;road;sidewalk;runway;land;dirt track;earth;sand;field,floor,rubber;ceramic;concrete;wood;asphalt;plastic,"Same list as emissivity/zones.py ZONE_CANDIDATES['floor'], kept identical so voxel_consensus.py's zone re-application agrees with this row exactly. Session 9's corridor is blue-grey hard rubber."
rug,rug,any,fabric;rubber;plastic,"A rug is textile, not the floor build-up under it. Zone stays 'any' rather than 'floor' because ZONE_CANDIDATES['floor'] has no fabric and stage 2 would otherwise strip the correct answer."
glazing,windowpane;mirror;glass,vertical,glass;plastic;painted_metal;wood,"The glazed bay. ADE segments the whole bay, so the mask routinely includes the frame and a mullion -- hence painted_metal and wood, which are the frame, not the pane. Rubber, fabric and every masonry class are excluded: a window is none of them. eps is 0.92-0.94 across this whole list, so a confusion inside it is worth well under 1 degC."
door,door;screen door,vertical,wood;painted_metal;glass;plastic,"Door leaf plus frame. Masonry excluded -- a door is not brick."
structure,column;pole;railing;bannister;base;fence,vertical,concrete;plaster;paint;brick;painted_metal;wood;ceramic,"Pillars, posts, handrails, plinths. Glass is excluded, which is the case the request named: an unconstrained ViT-H reads a smooth grey pillar as glass. painted_metal covers a steel handrail; bare metal is never offered."
stairs,stairs;stairway;step;escalator,any,concrete;ceramic;wood;rubber;painted_metal,"Treads and their nosings. Zone 'any' rather than 'floor' because painted_metal (a steel stair) is not in ZONE_CANDIDATES['floor']."
radiator,radiator,any,painted_metal;paint;plastic;ceramic,"The one class where painted_metal must win: a radiator is the hottest thing in the frame, so calling it bare steel (eps=0.07) is the catastrophic error this whole prior exists to prevent. ViT-H already labels radiators painted_metal at 0.85-1.00 on this rig; the row makes it structural."
appliance,stove;oven;microwave;refrigerator;dishwasher;washer;fireplace,any,painted_metal;plastic;glass;ceramic;brick,"White goods and hearths: enamelled or painted casing, a glass door, sometimes a brick surround. Bare metal excluded even for a stainless front -- the correction cost of being wrong is asymmetric."
furniture,table;desk;chair;armchair;seat;swivel chair;stool;bench;ottoman;sofa;bed;cabinet;wardrobe;shelf;bookcase;chest of drawers;counter;countertop;coffee table;case;buffet;kitchen island;pool table;bar;booth;grandstand,any,wood;fabric;plastic;painted_metal;ceramic;glass,"Deliberately broad: indoor furniture genuinely spans all six, and every one of them sits at eps 0.90-0.94, so the prior's job here is only to exclude bare metal and masonry."
textile,curtain;blind;cushion;pillow;blanket;towel;apparel;bag;flag;awning;canopy;tent,any,fabric;plastic,"Soft furnishing. plastic covers a vinyl blind or a PVC awning."
person,person,any,fabric,"Skin is eps~0.98, which has no class in emissivity_table.csv; fabric at 0.90 is the closest available and most of a clothed person's visible area IS fabric. A single-candidate row, so CLIP's ranking is bypassed here by construction."
vegetation,tree;plant;flower;palm;grass,any,wood;fabric,"Foliage is eps~0.95 with no class of its own. wood (0.90) for stems and trunks, fabric (0.90) for leaves -- both land within 0.05 of the truth, which is under 1 degC of correction."
lighting,lamp;light;chandelier;sconce;streetlight;traffic light,any,glass;plastic;painted_metal;ceramic,"Luminaires: a diffuser, a housing, a painted bracket."
electronics,computer;monitor;television receiver;screen;crt screen;arcade machine;clock;fan,any,plastic;glass;painted_metal,"Cases and displays. Not masonry, not fabric."
sanitary,sink;toilet;bathtub;shower;fountain,any,ceramic;painted_metal;plastic;glass,"Glazed sanitaryware plus enamelled and acrylic variants. Bare stainless is excluded on the same asymmetry as everywhere else -- a steel sink read at eps=0.07 would be reported ~120 degC hot."
signage,book;poster;painting;signboard;trade name;bulletin board,any,cardboard;fabric;paint;plastic,"Paper, print and painted board. cardboard (0.90) stands in for paper, which has no class of its own."
container,box;basket;barrel;bottle;vase;pot;tray;ashcan;plaything;ball;plate,any,cardboard;plastic;ceramic;painted_metal;glass,"Loose clutter. Small and rarely a thermal surface of interest, but it must not be allowed to become bare metal."
